092921d - DNP_center2 @ 1031 RW.tiff	092921d
2019.02.26%2737_OD_R_1_0_0000115_RegAvg%001.tiff	2737
090221e_Center2@1112 RK.tiff	090221e
2019.03.01%2740_OD_R_1_0_0000187_RegAvg%003.tiff	2740
C093020-WT-113105_Center 1 @ 0931 AM BAB RW.tiff	C093020
020921e-5xFAD male_center2 @1129 RK RK.tiff	020921e
071321e -DMSO_Center2 @1149 RW.tiff	071321e
2019.08.14%2940_OS_R_1_0_0000022_RegAvg%002.tiff	2940
2019.04.07%wt1_OS_R_1_0_0000124%004.tiff	wt1
071321c -DMSO_Center2@1105 RW.tiff	071321c
121020c-WT-115203_center2 @956 RK RW.tiff	121020c
2019.03.07%black_OS_R_1_0_0000094_RegAvg%001.tiff	black
C091020_Center#2 @ 1016 am -RW RK.tiff	C091020
091421f vehicle RW_center1@1125.tiff	091421f
2019.03.26%2802_OD_R_1_0_0000198_RegAvg%003.tiff	2802
101221b - male_center2 @952 RK.tiff	101221b
051821b saline_Center2@ 858 RW bab.tiff	051821b
2019.08.16%2940_OS_R_1_0_0000082_RegAvg%004.tiff	2940
2019.02.21%2742_OD_R_1_0_0000007_RegAvg%004.tiff	2742
C100720 - KO #113090_center 1 @ 941 BAB RW.tiff	C100720
2019.03.07%2731_OD_R_1_0_0000079_RegAvg%004.tiff	2731
2019.03.25%2802_OD_R_1_0_0000162_RegAvg%001.tiff	2802
B100820 - KO #113089_center 2 @ 900 -RW RK.tiff	B100820
2019.05.30%2789_OS_R_1_0_0000052%2789_OS_R_1_0_0000052_Structure_0003.tiff	2789
2019.03.26%2804_OS_R_1_0_0000207_RegAvg%001.tiff	2804
2019.05.29%2788_OD_R_1_0_0000007%2788_OD_R_1_0_0000007_Structure_0002.tiff	2788
2019.03.05%Rightearcut_OS_R_1_0_0000058_RegAvg%002.tiff	Rightearcut
100621a_center2 @908 RK.tiff	100621a
2019.03.04%bothcut_OS_R_1_0_0000022_RegAvg%002.tiff	bothcut
2019.04.06%wt3_OS_R_1_0_0000094%wt3_OS_R_1_0_0000094_Structure_0002.tiff	wt3
